term_srcdb,subject,course_number,code,crn,section,title,enrolled,campus_code,schedule_type,status_code,is_cancelled,meets,instructor,start_date,end_date,meetingTimes,timestamp
202602,SUS,103,SUS 103,36081,12,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,T 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,36082,13,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,T 2-4:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1650'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,36083,14,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,W 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,36084,16,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,R 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,36731,17,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,R 2-4:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1400', 'end_time': '1650'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,36732,18,+*INTRODUCTION TO CLIMATE CHANGE,9,C,D,A,False,F 11a-1:50p,L. Nguyen,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1100', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,103,SUS 103,35945,400,+*INTRODUCTION TO CLIMATE CHANGE,9,DI,Y,A,False,,J. Gregg,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,103H,SUS 103H,43639,1,+*INTRODUCTION TO CLIMATE CHANGE,3,C,HYB,A,False,T 2-2:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1450'}]",2025-11-20T11:34:50
202602,SUS,103H,SUS 103H,43640,10,+*INTRODUCTION TO CLIMATE CHANGE,3,C,D,A,False,R 10a-12:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:34:50
202602,SUS,103H,SUS 103H,43641,11,+*INTRODUCTION TO CLIMATE CHANGE,3,C,D,A,False,R 1-3:50p,J. Gregg,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:34:50
202602,SUS,200,SUS 200,42694,400,ORIENTATION TO SUSTAINABILITY,1,DI,Y,A,False,,E. Elliott,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,230X,SUS 230X,41930,1,THE ECONOMICS OF SUSTAINABILITY,1,C,A,A,False,TR 10-11:20a,W. Jaeger,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1000', 'end_time': '1120'}, {'meet_day': '3', 'start_time': '1000', 'end_time': '1120'}]",2025-11-20T11:34:50
202602,SUS,304,SUS 304,35966,400,*SUSTAINABILITY ASSESSMENT,2,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,304,SUS 304,36046,501,*SUSTAINABILITY ASSESSMENT,2,B,A,A,False,TR 12-1:50p,M. Shinderman,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1200', 'end_time': '1350'}, {'meet_day': '3', 'start_time': '1200', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,331,SUS 331,42217,1,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,C,A,A,False,TR 2-3:20p,D. Lloyd,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1400', 'end_time': '1520'}, {'meet_day': '3', 'start_time': '1400', 'end_time': '1520'}]",2025-11-20T11:34:50
